3597,963,963,3797,3113,59247,52102,111573,111573,11302,49446,100911,100911,23529,25742,255884,255884,258375,258382,150116,150116,245950,246046,43940,44904,45867,11933,11388,82138,584794,584794,10094,2905,26405,22431,49082,58264,16286,14192,29213,43665,1645,19088,14193,34929,3290,38255,189162,190193,15731,11273,58727,63090,76893,81679,113750,176357,176357,1191519,40563,67435,70833,20280,16311,26098,26098,1396244,1421608,8144,36199,36199,8144,43684,11040,10804,54351,6705,8446,14679,67027,15182,33366,15774,285995,363287,363287,17550,17550,17314,17260,38394,38394,47125,47134,879,1899413,1897371,1561,7719,11558,5287,5287,19265,19265,5647,5647,40967,3049,12110,31997,31307,31307,81098,81118,2031562,84322,124738,19191,22838,1849,3083,9995,10545,37567,37567,47436,50842,9457,235676,235676,248513,41634,302286,9723,95305,27763,27763,2430207,2430179
3320,803,803,3332,2679,48637,42772,91593,91593,9807,42907,87567,87567,20204,22105,216441,216441,217879,217883,128219,128219,211815,211900,36617,37420,38223,10030,9572,68709,499966,499966,8843,2545,23711,20142,44074,51957,14236,12406,25536,38168,1383,16048,11933,29366,2766,32163,164594,165478,12914,10408,52843,56743,69086,73366,93031,144235,144235,1029323,33175,56989,59861,16586,15233,24374,24374,1207200,1230904,7544,33537,33537,7544,41106,10229,10237,51347,6460,8137,14144,64582,14196,31197,14122,261935,331129,331129,15570,15570,15579,15579,36201,36201,43803,43811,781,1673722,1673791,1526,7550,11304,4411,4411,17054,17054,5105,5105,36766,2997,10755,27784,27772,27772,72893,72912,1794617,69738,103163,15349,18206,1589,2650,8057,8501,30220,30220,38314,41064,7638,196475,196475,206255,35754,251258,9369,91831,26135,26135,2152384,2152372
3958,1178,1178,4416,1537,75975,66818,143080,143080,13957,61066,124623,124623,34862,38142,310618,310618,314972,314984,192887,192887,316913,317037,53741,54920,56098,14087,13444,98915,742990,742990,17947,5165,39374,33445,73184,90553,21769,18967,39042,58359,2270,26351,19592,48211,4542,52806,285329,287277,20174,12409,87689,94612,116504,124098,160495,248832,248832,1755394,57231,96962,101850,28615,21882,35011,35011,2089591,2149815,10978,48788,48788,10978,70710,14879,18809,91766,8376,10555,18345,83768,16377,35993,23693,398558,514658,514658,22649,22649,26580,27419,43385,43385,66201,66223,1131,2935630,2969446,2170,10739,16074,5304,5304,21903,21903,6740,6740,60094,3199,14276,38583,36873,36873,118400,118448,3219355,113807,168353,24869,31522,1900,3167,12280,12954,49653,49653,59791,64085,11920,333101,333101,350518,46259,413243,12948,126939,29562,29562,3707542,3707460
4263,1239,1239,4696,3512,75018,65977,141277,141277,14163,61966,126459,126459,36245,39654,326721,326721,331342,331355,215780,215780,351371,351507,56464,57700,58939,14953,14272,104389,819619,819619,19055,5485,41824,35525,77738,95924,23287,20291,41769,62433,2473,28686,21328,52485,4944,57487,303885,305924,19919,13368,95593,103156,127064,135361,162005,251170,251170,1910994,57768,99448,104464,28887,22869,36589,36589,2266096,2334911,11657,51802,51802,11657,73922,15799,19556,95623,8980,11316,19666,89796,17536,38545,27199,448357,581623,581623,24883,24883,28640,29445,45466,45466,70150,70172,1245,3193909,3226239,2515,12448,18636,5663,5663,23355,23355,7077,7077,67785,4289,15927,41470,39172,39172,132932,132988,3546827,117037,173131,26033,33015,1958,3262,12704,13402,51789,51789,64148,68755,12786,351178,351178,372676,49229,442230,15250,149524,32383,32383,4038854,4038722
3236,847,847,3375,2195,57594,50655,108465,108465,10448,45720,93306,93306,22091,24171,226698,226698,226491,226490,132135,132135,221546,221637,38586,39431,40278,10271,9803,71498,554787,554787,13897,3999,26351,22381,48978,62162,14935,13012,26787,40038,1531,17773,13214,32516,3064,35616,199686,201164,15293,10139,64039,68997,84672,90110,96213,149169,149169,1270276,34309,52564,55216,17154,15622,24994,24994,1489099,1536175,8174,36332,36332,8174,51146,11080,13465,65974,6441,8114,14103,64403,12779,28086,16529,286971,367961,367961,15471,15471,17856,18366,33799,33799,47166,47179,775,2087765,2108281,1879,9304,13929,4197,4197,17504,17504,5307,5307,42527,3061,11443,29840,30423,30423,85669,85697,2256162,72535,107299,17000,19308,1737,2893,8614,9086,31984,31984,40540,43453,8082,196792,196792,199686,39570,241994,9349,91673,24074,24074,2649757,2649793
5100,1416,1416,5488,2199,91049,80075,171467,171467,17484,76493,156106,156106,37468,40996,374929,374929,382471,382492,238083,238083,397266,397424,64583,65997,67413,16995,16221,119073,905590,905590,12065,3471,36168,30722,67227,78315,25122,21892,45060,67355,2109,24473,18196,44775,4218,49044,259314,260557,24177,15994,79282,85105,103511,109896,156515,242657,242657,1625764,55811,98125,103073,27905,21981,35169,35169,1873417,1887295,11086,49271,49271,11086,64530,15028,16525,81913,9368,11806,20518,93685,19489,42832,22478,401027,511177,511177,23749,23749,25248,25622,48872,48872,68896,68916,1186,2608325,2621219,2399,11863,17757,7487,7487,23059,23059,7526,7526,57289,3564,16279,44186,40756,40756,113796,113831,2832791,113200,167455,24263,31063,2058,3431,13273,14002,50548,50548,67459,72303,13448,324853,324853,341519,50952,408230,12858,126052,38352,38352,3262393,3262250
3550,920,920,3685,4160,55551,48855,104615,104615,10430,45628,93115,93115,21467,23487,243938,243938,245698,245702,147067,147067,240774,240867,41910,42828,43748,12002,11455,80229,559681,559681,12091,3479,25444,21616,47295,58208,14625,12741,26229,39208,1638,19002,14128,34767,3275,38081,188979,190202,14751,11134,58783,63167,77025,81832,119245,184875,184875,1205551,42520,69189,72677,21261,14746,23593,23593,1423335,1454519,7703,34244,34244,7703,44003,10444,11311,55909,5521,6959,12091,55206,13236,29090,17066,285103,368726,368726,15275,15275,16135,16407,29570,29570,47482,47499,763,1959155,1965497,1894,9372,14034,5256,5256,18457,18457,5224,5224,46502,3320,11428,29229,29522,29522,90423,90456,2101474,88296,130614,18569,23836,1713,2854,9657,10187,38471,38471,48762,52261,9721,222270,222270,226312,44849,274985,8473,83060,26651,26651,2447754,2447715
3970,1419,1419,4903,4231,87751,77174,165254,165254,16854,73749,150509,150509,32617,35686,374096,374096,380740,380759,207856,207856,345701,345839,64697,66115,67534,16827,16060,118680,807363,807363,16968,4884,35919,30511,66762,82551,21243,18509,38100,56953,1896,21994,16353,40242,3791,44077,261043,262815,23301,12446,76794,82713,101426,107918,122898,190539,190539,1651511,43824,72624,76284,21911,18749,29997,29997,1910235,1957072,11332,50367,50367,11332,66132,15362,16954,83993,8959,11287,19616,89579,18364,40363,22496,394667,504908,504908,22657,22657,24246,24588,50098,50098,68636,68654,1133,2674606,2688296,2364,11692,17504,5562,5562,23260,23260,7241,7241,57533,3517,15528,41889,42445,42445,117576,117615,2902255,90714,134192,20635,25585,1874,3128,10761,11350,41558,41558,50770,54418,10123,242465,242465,245974,51586,300879,10974,107589,27838,27838,3360286,3360308
3812,1327,1327,4637,3221,84872,74643,159834,159834,15146,66259,135222,135222,33435,36581,344479,344479,349995,350010,218106,218106,350742,350875,60485,61811,63138,15652,14937,110710,793305,793305,16728,4816,30110,25577,55967,71420,20535,17892,36831,55053,1757,20395,15162,37317,3514,40870,242895,244627,22537,11951,73400,79051,96919,103119,144034,223311,223311,1663106,51362,89269,93771,25680,24478,39162,39162,1965558,2015512,12193,54184,54184,12193,69511,16527,17817,88279,8566,10794,18760,85661,21480,47212,24109,416551,534683,534683,24630,24630,25618,25976,55665,55665,77406,77429,1231,2758640,2765705,2090,10345,15486,6972,6972,22039,22039,6558,6558,56139,3725,16692,45154,43773,43773,116772,116810,2916382,102496,151621,23797,29183,1952,3253,12135,12801,46867,46867,64359,68982,12831,299803,299803,316653,49842,382427,11947,117124,37418,37418,3409867,3409822
3294,1346,1346,4405,2136,90054,79202,169594,169594,15790,69081,140982,140982,42217,46190,351102,351102,357560,357578,200302,200302,331419,331550,61324,62665,64011,15354,14656,110684,880655,880655,12369,3561,29531,25086,54891,65549,22896,19948,41066,61383,1606,18634,13853,34091,3209,37340,225110,226305,23913,10326,62738,67558,82799,88087,111210,172419,172419,1466283,39658,68558,72013,19828,17781,28449,28449,1650134,1663049,8993,39959,39959,8993,42283,12187,9840,50782,7666,9661,16794,76679,15395,33834,17324,314362,399251,399251,17954,17954,15562,15047,42708,42708,45321,45324,897,2122732,2102131,1539,7625,11415,5747,5747,19398,19398,6113,6113,41444,2930,12248,32692,31571,31571,81363,81382,2226695,82511,122057,18769,19650,1795,2994,9765,10300,33210,33210,47263,50657,9424,214031,214031,227052,41128,280493,9000,88229,30207,30207,2589376,2589339
