137330,184334,55655,63098,63098,26019,38379,451844,7637,7761,26099,485704,11046,28115,28257,2758,14928,3836,13308,5815,4016,3715,6234,4016,86825,87185,88205,1338,23095,44013,6861,11046,162509,38825,68214,2510,11369,47769,371540,28039,11237,101123,5242,111364,13732,245696,249691,4663,4692,7186,19502,7970,373027,408951,26217,5993,5993,823260,43837,10316,14630,4784,97510,8138,8238,2938,8066,14378,1009232,1045663,1047964,81855,84667,87735,92614,29544,30936,5660,2914,9948,7203,166491,171506,1219497,29841,2572,7545,1263988,1264078,1213746,1698578,1698372,18228,361551
96596,129659,42334,47996,47996,22100,32596,311892,6334,6436,22164,340492,10916,26042,26174,2622,14192,3648,12652,5527,3818,3535,5927,3818,81854,82197,83167,1324,22820,43490,6780,10916,156589,38364,50505,2481,8418,35368,334404,20762,9434,84910,4402,93506,11530,206297,209651,4318,3552,5437,14756,7382,304735,331793,22013,5031,5031,738277,37962,9050,12837,4198,80479,5282,5345,2543,6984,12452,886864,913961,915673,72236,74716,77424,80436,24549,25704,4655,2396,8179,5923,137922,141018,1056456,24538,2383,6204,1051521,1050779,1066572,1407338,1407402,15305,303575
150773,202382,54395,61673,61673,27992,41283,471719,6336,6439,28072,506230,9105,26270,26402,2496,13504,3470,12041,5261,3634,3363,5641,3634,79390,79715,80637,1103,19035,36276,5653,9105,141880,32000,66649,2069,11110,46673,331890,27396,11603,104424,5416,114995,14179,253709,257835,4357,5018,7682,20856,7445,387199,425349,27073,6188,6188,741063,47068,8120,11517,3765,106937,6479,6557,3154,8660,15439,953181,1000594,1003590,75085,77663,80479,85022,30489,31927,5344,2753,9392,6799,157261,161930,1165322,28176,2404,7126,1170942,1170316,1134248,1639852,1639704,18821,373345
225739,303006,67144,76127,76127,35019,51648,720750,8958,9103,35123,764977,16363,39836,40036,3646,19735,5071,17595,7689,5309,4914,8242,5309,117467,117941,119290,1982,34214,65204,10166,16363,229367,57517,85210,3720,14202,59671,512095,35026,17752,159776,8284,175950,21697,388195,394508,6604,4069,6231,16914,11291,507860,538838,41424,9470,9470,1070579,78063,12972,18403,6019,144007,8943,9051,5231,14363,25605,1333059,1376299,1379030,114036,117947,122226,130227,40046,41932,8098,4173,14233,10308,237194,245415,1624817,42702,3644,10797,1742550,1743730,1276081,2032937,2031026,28799,571246
103540,138979,40431,45841,45841,22709,33495,339335,6057,6157,22777,368269,10544,24897,25023,2703,14623,3760,13038,5697,3934,3641,6108,3934,82405,82757,83755,1278,22041,42007,6550,10544,154672,37056,54016,2396,9001,37827,335322,22205,8795,79162,4105,87176,10750,192336,195464,4131,4128,6322,17156,7057,303277,334635,20525,4692,4692,761721,37910,8992,12754,4171,86027,5231,5295,2541,6976,12435,924926,958101,960196,73682,76210,78975,81705,25346,26541,4686,2414,8235,5964,139180,141989,1101683,24706,2277,6246,1053312,1051722,903495,1269191,1268585,14268,283031
152424,204596,60485,68577,68577,32221,47523,476458,8691,8832,32317,517607,14788,30683,30836,3429,18560,4769,16546,7230,4995,4624,7753,4995,103659,104104,105372,1792,30921,58928,9188,14788,203898,51982,71566,3360,11926,50116,448963,29421,12157,109406,5672,120482,14858,265815,270138,5086,5805,8886,24124,8694,420430,464726,28365,6483,6483,1008762,51416,12268,17400,5690,96245,7148,7236,3443,9461,16865,1176811,1199927,1201388,101436,104915,108720,112989,35951,37645,6602,3403,11604,8404,195710,200097,1401378,34817,2806,8804,1430364,1430025,1280920,1795940,1795329,19720,391161
102035,136961,35993,40808,40808,20612,30399,337438,5716,5808,20671,363917,9548,25097,25222,2496,13506,3470,12042,5261,3632,3364,5641,3632,78215,78540,79463,1158,19964,38049,5931,9548,143699,33565,54430,2169,9071,38116,316683,22374,9298,83671,4337,92140,11361,203288,206593,4162,3496,5352,14530,7112,296994,322671,21693,4957,4957,731590,33257,8773,12444,4069,76402,4684,4740,2226,6119,10910,874616,902935,904723,70921,73353,76012,78794,21249,22251,4416,2274,7762,5620,130935,133796,1038242,23281,2294,5887,1024758,1023883,831433,1192005,1191220,15081,299148
151338,203139,60702,68825,68825,31133,45919,495056,8007,8136,31225,534417,11130,29403,29550,3238,17538,4507,15636,6832,4719,4366,7327,4719,98359,98781,99979,1348,23273,44355,6914,11130,172871,39127,73848,2529,12307,51713,389707,30355,12272,110454,5726,121637,15000,268361,272726,4875,6716,10284,27917,8332,443354,494438,28637,6544,6544,913737,44187,11124,15779,5160,116088,7586,7679,2961,8131,14494,1144667,1198861,1202283,86281,89241,92478,98971,28315,29649,6142,3162,10793,7816,179436,186108,1388168,32381,2689,8190,1395290,1394584,1406093,1940707,1940755,19909,394908
257294,345361,97814,110902,110902,38586,56911,850124,13807,14031,38700,902855,14406,38828,39023,4088,22128,5685,19730,8618,5953,5510,9241,5953,125844,126377,127888,1747,30123,57411,8950,14406,224809,50643,117208,3275,19535,82080,545468,48183,19636,176715,9164,194606,24000,429356,436338,6440,6517,9979,27081,11004,607523,657412,45815,10471,10471,1446662,84278,20496,29073,9507,177009,10468,10595,5645,15507,27644,1769743,1827334,1830969,134333,138941,143980,152729,62537,65484,10018,5161,17608,12751,294621,303612,2134994,52827,3549,13358,2272060,2273371,2222306,3124274,3124066,31853,631818
148974,199966,58103,65875,65875,28090,41432,466076,7983,8112,28175,502363,13041,32015,32174,3046,16488,4237,14699,6423,4437,4105,6885,4437,96861,97258,98383,1580,27264,51963,8099,13041,186107,45837,79583,2964,13266,55730,431271,32712,13862,124755,6468,137384,16942,303109,308036,5308,4101,6277,17045,9074,415426,445606,32345,7393,7393,915154,40346,11257,15967,5221,106938,7995,8092,2706,7423,13233,1126225,1174511,1177560,96008,99304,102904,106547,33392,34965,6139,3160,10790,7814,182274,186020,1363677,32367,2927,8186,1422892,1423198,1416519,1918767,1918740,22486,446037
116621,156537,49728,56382,56382,23827,35144,386804,6643,6750,23898,417452,10412,25015,25140,2475,13401,3445,11947,5221,3604,3336,5599,3604,77716,78040,78954,1261,21773,41492,6468,10412,149006,36605,52243,2365,8709,36585,325556,21476,10737,96629,5011,106413,13123,234776,238592,4148,4275,6546,17767,7089,350693,383426,25051,5726,5726,708757,37327,9488,13458,4401,88154,6987,7071,2502,6868,12243,870603,902486,904501,72302,74778,77492,82514,23855,24980,5061,2608,8895,6441,148222,153385,1057861,26688,2288,6749,1089712,1089637,1028135,1444519,1444268,17417,345480
205168,275396,86567,98150,98150,37147,54791,652401,10362,10531,37257,700189,14760,33086,33252,3483,18848,4845,16805,7342,5071,4693,7872,5071,107207,107664,108950,1790,30858,58810,9168,14760,208235,51879,100195,3355,16700,70165,502926,41187,18368,165319,8573,182056,22450,401663,408195,5489,6078,9305,25258,9378,566051,612451,42862,9798,9798,1082821,70806,19882,28203,9222,145940,11724,11867,4744,13029,23225,1341986,1382087,1384619,117048,121064,125454,129975,51449,53874,7939,4089,13949,10101,235873,240519,1625375,41850,3027,10584,1719149,1719895,1654785,2353841,2353576,29798,591066
220628,296146,81459,92357,92357,37748,55675,701385,11345,11530,37859,750774,18971,37557,37746,3839,20770,5340,18519,8090,5588,5170,8675,5588,119242,119741,121160,2300,39668,75597,11784,18971,248783,66685,96640,4311,16108,67675,572914,39727,17895,161042,8349,177343,21871,391273,397635,6230,5339,8175,22192,10644,540495,581376,41751,9542,9542,1205514,68372,16873,23933,7826,158552,11752,11894,4583,12581,22426,1509061,1571188,1575112,133269,137838,142839,145718,59542,62349,8585,4424,15093,10928,257260,260220,1835612,45278,3434,11450,1941418,1942307,1909127,2659324,2659188,29027,575775
150720,202310,62243,70571,70571,29726,43843,487317,8088,8219,29812,525348,7894,26092,26224,2642,14299,3675,12748,5571,3848,3560,5976,3848,82331,82676,83651,956,16502,31449,4904,7894,136745,27743,65985,1794,10997,46208,315424,27125,11662,104950,5444,115573,14250,254982,259129,4327,3852,5901,16014,7395,361220,390547,27210,6218,6218,808108,53585,9840,13958,4563,106228,7429,7519,3590,9860,17577,1007494,1043778,1046070,76630,79258,82133,87371,29586,30980,5521,2844,9703,7025,161929,167311,1213459,29111,2387,7362,1265100,1265348,1177866,1701695,1701337,18916,375219
147959,198601,61476,69702,69702,29055,42854,491738,8254,8387,29140,529265,14468,32895,33060,3324,17988,4624,16039,7007,4842,4479,7514,4842,103646,104078,105307,1753,30253,57655,8987,14468,202639,50859,79425,3287,13238,55620,459571,32650,13576,122180,6337,134550,16593,296850,301679,5454,4569,6996,18993,9322,423898,458761,31677,7241,7241,967099,49093,10966,15556,5089,115745,8645,8749,3289,9031,16102,1193669,1242593,1245685,99320,102726,106452,111979,37602,39375,6853,3530,12045,8724,202010,207692,1453483,36139,3008,9140,1518868,1519202,1525988,2055371,2055397,22024,436829
117578,157824,47222,53541,53541,25562,37703,422195,6727,6835,25638,454668,11688,26353,26485,2511,13594,3493,12119,5295,3656,3385,5676,3656,79817,80144,81072,1417,24437,46569,7259,11688,159689,41082,59789,2656,9965,41868,359798,24576,10083,90753,4705,99941,12326,220493,224080,4369,2947,4512,12250,7471,304382,326599,23530,5377,5377,714450,39529,7403,10501,3434,85412,5310,5375,2647,7273,12966,879267,913244,915389,77425,80079,82983,86103,23576,24688,4852,2500,8531,6176,143863,147072,1062443,25591,2409,6473,1094104,1094048,1005846,1458979,1458620,16358,324468
119368,160225,46968,53250,53250,24048,35471,444689,6831,6944,24120,475753,11340,28707,28851,2643,14307,3680,12756,5572,3851,3563,5976,3851,84991,85337,86313,1375,23711,45189,7044,11340,162604,39863,59311,2576,9886,41534,358982,24382,10632,95697,4962,105385,12996,232511,236292,4761,3834,5870,15934,8136,336370,364661,24810,5670,5670,719140,34412,8503,12062,3945,89987,6721,6802,2304,6332,11287,899194,941274,943933,78487,81179,84123,87343,23064,24151,4898,2525,8609,6234,145122,148433,1092387,25825,2626,6532,1130703,1130768,1028600,1502578,1502161,17249,342150
151270,203046,63861,72404,72404,32845,48443,575993,8828,8972,32941,617906,14327,30514,30667,2910,15747,4047,14039,6134,4237,3923,6577,4237,92453,92833,93907,1738,29958,57093,8900,14327,190292,50363,66379,3255,11062,46484,423854,27285,11204,100835,5228,111041,13693,244991,248974,5060,4196,6428,17444,8649,360778,392613,26142,5973,5973,798496,55662,10839,15373,5027,115463,7669,7761,3730,10243,18258,1017024,1058926,1061572,91035,94158,97573,100881,27535,28831,5621,2897,9880,7156,166930,170328,1231953,29637,2790,7494,1280542,1280711,1092806,1707451,1706682,18172,360513
161647,216979,67401,76419,76419,33676,49668,574758,9121,9270,33774,617802,16006,35039,35214,3347,18113,4656,16148,7055,4873,4510,7565,4873,106275,106712,107948,1942,33470,63786,9943,16006,215634,56269,80325,3639,13388,56250,487059,33019,13241,119173,6180,131238,16184,289550,294257,5810,5815,8905,24172,9931,444371,487975,30897,7063,7063,934141,57795,12541,17789,5817,122653,9316,9429,3872,10632,18955,1165722,1209591,1212361,104868,108463,112397,117479,36074,37774,6926,3568,12174,8816,204661,209884,1422284,36519,3204,9234,1477803,1477930,1376796,1992839,1992427,21480,426083
170192,228447,73395,83213,83213,36371,53644,617098,9688,9844,36479,663421,17150,32509,32671,3480,18827,4839,16787,7336,5068,4688,7864,5068,106550,107002,108288,2077,35858,68337,10655,17150,223658,60284,80222,3898,13371,56177,504528,32977,14295,128662,6673,141689,17472,312605,317687,5390,5393,8257,22415,9214,456850,497270,33358,7625,7625,1021035,63168,13191,18711,6118,136478,12246,12395,4232,11623,20721,1284086,1335643,1338899,111141,114953,119123,123759,40248,42146,7262,3741,12762,9240,215269,220034,1559167,38285,2974,9680,1648069,1648808,1566103,2228088,2227750,23194,460010
231745,311067,104775,118791,118791,50047,73816,881902,14365,14600,50195,946697,15184,35563,35741,3846,20817,5352,18561,8110,5602,5183,8696,5602,117427,117926,119348,1841,31751,60512,9432,15184,221505,53379,93965,3451,15660,65802,509198,38626,17125,154121,7992,169724,20931,374457,380547,5897,7415,11358,30822,10080,571495,628273,39956,9133,9133,1296425,95237,20132,28556,9338,198179,16774,16978,6380,17523,31238,1670854,1740029,1744398,115594,119560,123896,133028,57587,60302,9121,4699,16030,11608,266997,276382,2021275,48090,3252,12161,2165266,2166835,2010083,2954058,2953417,27780,551033
110299,148053,43840,49707,49707,19632,28956,335818,6692,6801,19690,362309,11965,29536,29685,2891,15649,4022,13951,6097,4210,3897,6537,4210,91083,91460,92527,1451,25018,47677,7433,11965,173018,42059,60953,2720,10160,42685,377452,25056,10751,96739,5015,106532,13137,235039,238862,4898,4193,6424,17436,8370,350171,381983,25079,5733,5733,765496,27976,8198,11627,3801,88127,7441,7531,1875,5147,9177,948941,996499,999503,79357,82078,85054,89299,23166,24259,5161,2657,9067,6568,151987,156350,1155900,27206,2701,6881,1200111,1200255,1229187,1591996,1592117,17437,345873
