10/1/1976,400
10/2/1976,415
10/3/1976,435
10/4/1976,460
10/5/1976,450
10/6/1976,445
10/7/1976,418
10/8/1976,417
10/9/1976,410
10/10/1976,410
10/11/1976,408
10/12/1976,406
10/13/1976,413
10/14/1976,393
10/15/1976,395
10/16/1976,396
10/17/1976,379
10/18/1976,381
10/19/1976,376
10/20/1976,381
10/21/1976,367
10/22/1976,389
10/23/1976,391
10/24/1976,387
10/25/1976,384
10/26/1976,376
10/27/1976,378
10/28/1976,376
10/29/1976,369
10/30/1976,368
10/31/1976,374
11/1/1976,379
11/2/1976,374
11/3/1976,374
11/4/1976,382
11/5/1976,385
11/6/1976,376
11/7/1976,376
11/8/1976,374
11/9/1976,374
11/10/1976,359
11/11/1976,372
11/12/1976,361
11/13/1976,358
11/14/1976,349
11/15/1976,388
11/16/1976,391
11/17/1976,374
11/18/1976,372
11/19/1976,368
11/20/1976,372
11/21/1976,368
11/22/1976,355
11/23/1976,343
11/24/1976,360
11/25/1976,370
11/26/1976,376
11/27/1976,335
11/28/1976,170
11/29/1976,220
11/30/1976,230
12/1/1976,230
12/2/1976,280
12/3/1976,290
12/4/1976,320
12/5/1976,350
12/6/1976,360
12/7/1976,370
12/8/1976,375
12/9/1976,375
12/10/1976,370
12/11/1976,355
12/12/1976,340
12/13/1976,325
12/14/1976,310
12/15/1976,300
12/16/1976,310
12/17/1976,310
12/18/1976,290
12/19/1976,280
12/20/1976,260
12/21/1976,250
12/22/1976,250
12/23/1976,260
12/24/1976,260
12/25/1976,260
12/26/1976,270
12/27/1976,275
12/28/1976,270
12/29/1976,250
12/30/1976,265
12/31/1976,270
1/1/1977,290
1/2/1977,345
1/3/1977,360
1/4/1977,360
1/5/1977,350
1/6/1977,350
1/7/1977,305
1/8/1977,300
1/9/1977,230
1/10/1977,220
1/11/1977,230
1/12/1977,280
1/13/1977,300
1/14/1977,300
1/15/1977,330
1/16/1977,360
1/17/1977,365
1/18/1977,365
1/19/1977,365
1/20/1977,360
1/21/1977,350
1/22/1977,350
1/23/1977,350
1/24/1977,350
1/25/1977,350
1/26/1977,340
1/27/1977,340
1/28/1977,340
1/29/1977,340
1/30/1977,340
1/31/1977,325
2/1/1977,270
2/2/1977,300
2/3/1977,330
2/4/1977,340
2/5/1977,340
2/6/1977,340
2/7/1977,340
2/8/1977,350
2/9/1977,350
2/10/1977,350
2/11/1977,350
2/12/1977,355
2/13/1977,360
2/14/1977,360
2/15/1977,360
2/16/1977,360
2/17/1977,360
2/18/1977,370
2/19/1977,370
2/20/1977,375
2/21/1977,380
2/22/1977,380
2/23/1977,380
2/24/1977,380
2/25/1977,380
2/26/1977,370
2/27/1977,370
2/28/1977,375
3/1/1977,380
3/2/1977,380
3/3/1977,380
3/4/1977,375
3/5/1977,370
3/6/1977,385
3/7/1977,400
3/8/1977,410
3/9/1977,440
3/10/1977,430
3/11/1977,425
3/12/1977,415
3/13/1977,390
3/14/1977,395
3/15/1977,410
3/16/1977,430
3/17/1977,405
3/18/1977,440
3/19/1977,420
3/20/1977,410
3/21/1977,415
3/22/1977,440
3/23/1977,460
3/24/1977,482
3/25/1977,495
3/26/1977,476
3/27/1977,423
3/28/1977,404
3/29/1977,395
3/30/1977,373
3/31/1977,347
4/1/1977,360
4/2/1977,363
4/3/1977,365
4/4/1977,347
4/5/1977,351
4/6/1977,360
4/7/1977,357
4/8/1977,378
4/9/1977,398
4/10/1977,422
4/11/1977,444
4/12/1977,479
4/13/1977,471
4/14/1977,442
4/15/1977,395
4/16/1977,396
4/17/1977,398
4/18/1977,401
4/19/1977,448
4/20/1977,492
4/21/1977,468
4/22/1977,417
4/23/1977,417
4/24/1977,466
4/25/1977,507
4/26/1977,554
4/27/1977,554
4/28/1977,554
4/29/1977,588
4/30/1977,541
5/1/1977,530
5/2/1977,566
5/3/1977,523
5/4/1977,538
5/5/1977,519
5/6/1977,430
5/7/1977,365
5/8/1977,372
5/9/1977,428
5/10/1977,560
5/11/1977,596
5/12/1977,499
5/13/1977,370
5/14/1977,355
5/15/1977,371
5/16/1977,466
5/17/1977,429
5/18/1977,381
5/19/1977,385
5/20/1977,333
5/21/1977,319
5/22/1977,308
5/23/1977,284
5/24/1977,261
5/25/1977,269
5/26/1977,292
5/27/1977,350
5/28/1977,388
5/29/1977,378
5/30/1977,370
5/31/1977,341
6/1/1977,359
6/2/1977,592
6/3/1977,635
6/4/1977,617
6/5/1977,587
6/6/1977,536
6/7/1977,500
6/8/1977,472
6/9/1977,450
6/10/1977,417
6/11/1977,395
6/12/1977,352
6/13/1977,311
6/14/1977,256
6/15/1977,232
6/16/1977,191
6/17/1977,163
6/18/1977,140
6/19/1977,151
6/20/1977,128
6/21/1977,126
6/22/1977,126
6/23/1977,136
6/24/1977,124
6/25/1977,98
6/26/1977,81
6/27/1977,71
6/28/1977,55
6/29/1977,39
6/30/1977,27
7/1/1977,18
7/2/1977,12
7/3/1977,11
7/4/1977,139
7/5/1977,258
7/6/1977,246
7/7/1977,170
7/8/1977,105
7/9/1977,92
7/10/1977,80
7/11/1977,53
7/12/1977,51
7/13/1977,41
7/14/1977,31
7/15/1977,30
7/16/1977,78
7/17/1977,90
7/18/1977,93
7/19/1977,76
7/20/1977,262
7/21/1977,139
7/22/1977,178
7/23/1977,147
7/24/1977,431
7/25/1977,546
7/26/1977,256
7/27/1977,238
